range_index,start_timestamp,end_timestamp,duration_ns,sm__inst_executed_realtime.sum.per_cycle_active,sm__cycles_active.sum,l1tex__t_bytes.sum,sm__inst_executed_realtime.sum,dram__bytes.sum,dram__cycles_active.sum
60,1765294537963033395,1765294537972255832,9222437,15.149889,6626813.000000,41616608.000000,3346516.000000,32715264.000000,4089408.000000
61,1765294537972255832,1765294537976510796,4254964,17.231513,2643083.000000,18056000.000000,1518144.000000,16775424.000000,2096928.000000
62,1765294537976510796,1765294537980714015,4203219,16.072143,5124280.000000,39096576.000000,2745272.000000,26800384.000000,3350048.000000
63,1765294537980714015,1765294537984880819,4166804,17.538060,4165309.000000,33591968.000000,2435048.000000,28732160.000000,3591520.000000
64,1765294537984880819,1765294537989038439,4157620,16.458703,5003957.000000,39096576.000000,2745288.000000,19661824.000000,2457728.000000
65,1765294537989038439,1765294537993338587,4300148,0.000000,0.000000,0.000000,0.000000,596480.000000,74560.000000
66,1765294537993338587,1765294537997540750,4202163,16.332300,7831274.000000,57152576.000000,4263424.000000,40346880.000000,5043360.000000
67,1765294537997540750,1765294538001803874,4263124,0.000000,0.000000,0.000000,0.000000,8980224.000000,1122528.000000
68,1765294538001803874,1765294538006027702,4223828,15.186069,6611001.000000,41616608.000000,3346504.000000,33434368.000000,4179296.000000
69,1765294538006027702,1765294538010286185,4258483,21.898377,1256115.000000,15535968.000000,916896.000000,7020288.000000,877536.000000
70,1765294538010286185,1765294538014624925,4338740,15.448855,5719158.000000,35847264.000000,2945148.000000,36382464.000000,4547808.000000
71,1765294538014624925,1765294538018881873,4256948,12.985127,927267.000000,5769344.000000,401356.000000,4484352.000000,560544.000000
72,1765294538018881873,1765294538023267812,4385939,0.000000,0.000000,0.000000,0.000000,456960.000000,57120.000000
73,1765294538023267812,1765294538027566104,4298292,17.924725,4073147.000000,33591968.000000,2433668.000000,24983040.000000,3122880.000000
74,1765294538027566104,1765294538031616780,4050676,15.900208,5179721.000000,39096576.000000,2745288.000000,23077888.000000,2884736.000000
75,1765294538031616780,1765294538036002751,4385971,0.000000,0.000000,0.000000,0.000000,9686784.000000,1210848.000000
76,1765294538036002751,1765294538040388690,4385939,0.000000,0.000000,0.000000,0.000000,986624.000000,123328.000000
77,1765294538040388690,1765294538044774662,4385972,0.000000,0.000000,0.000000,0.000000,1741056.000000,217632.000000
78,1765294538044774662,1765294538049160601,4385939,0.000000,0.000000,0.000000,0.000000,263936.000000,32992.000000
0,1765294538049160601,1765294538053546572,4385971,0.000000,0.000000,0.000000,0.000000,836352.000000,104544.000000
1,1765294538053546572,1765294538057932511,4385939,0.000000,0.000000,0.000000,0.000000,327680.000000,40960.000000
2,1765294538057932511,1765294538062318483,4385972,0.000000,0.000000,0.000000,0.000000,365056.000000,45632.000000
3,1765294538062318483,1765294538066493831,4175348,0.000000,0.000000,0.000000,0.000000,4611584.000000,576448.000000
4,1765294538066493831,1765294538071886007,5392176,0.000000,0.000000,0.000000,0.000000,143360.000000,17920.000000
5,1765294538071886007,1765294538076370282,4484275,0.000000,0.000000,0.000000,0.000000,3607296.000000,450912.000000
6,1765294538076370282,1765294538081200988,4830706,0.000000,0.000000,0.000000,0.000000,3328768.000000,416096.000000
7,1765294538081200988,1765294538085197456,3996468,0.000000,0.000000,0.000000,0.000000,9038080.000000,1129760.000000
8,1765294538085197456,1765294538091359262,6161806,0.000000,0.000000,0.000000,0.000000,6897664.000000,862208.000000
9,1765294538091359262,1765294538095534450,4175188,0.000000,0.000000,0.000000,0.000000,14799872.000000,1849984.000000
10,1765294538095534450,1765294538099568135,4033685,0.000000,0.000000,0.000000,0.000000,25362432.000000,3170304.000000
11,1765294538099568135,1765294538103583323,4015188,0.000000,0.000000,0.000000,0.000000,6363904.000000,795488.000000
12,1765294538103583323,1765294538108341677,4758354,0.000000,0.000000,0.000000,0.000000,9248768.000000,1156096.000000
13,1765294538108341677,1765294538116804501,8462824,0.000000,0.000000,0.000000,0.000000,21320448.000000,2665056.000000
14,1765294538116804501,1765294538121149512,4345011,0.000000,0.000000,0.000000,0.000000,25421312.000000,3177664.000000
15,1765294538121149512,1765294538135437055,14287543,0.000000,0.000000,0.000000,0.000000,17011456.000000,2126432.000000
16,1765294538135437055,1765294538145967072,10530017,0.000000,0.000000,0.000000,0.000000,8713984.000000,1089248.000000
17,1765294538145967072,1765294538158331548,12364476,0.000000,0.000000,0.000000,0.000000,8496384.000000,1062048.000000
18,1765294538158331548,1765294538173467664,15136116,0.000000,0.000000,0.000000,0.000000,10203904.000000,1275488.000000
19,1765294538173467664,1765294538179488447,6020783,0.000000,0.000000,0.000000,0.000000,6768384.000000,846048.000000
